Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8949478,2019-10-02 17:35:08,2019-04-24 10:39:22,17133758,5174394916,17133758,302,1971,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8949478/SRR8949478.1,SRX5729456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667082,SAMN11475438,simple,9606,Homo sapiens,GSM3732360,,,,,,,no,,,,,GEO,SRA878947,,public,2B27F8B814543BA50A0802F332CD26F8,8BBB7796761845B2CC32DC196AF933EA
SRR8949479,2019-10-02 17:35:08,2019-04-24 10:40:20,19813926,5983805652,19813926,302,2361,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8949479/SRR8949479.1,SRX5729457,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667083,SAMN11475447,simple,32630,synthetic construct,GSM3732361,,,,,,,no,,,,,GEO,SRA878947,,public,36CB54AC262EE010DEDD9BE0E1A91864,B40215CEF232C616BDAE3202F202865D
SRR8949480,2019-10-02 17:35:08,2019-04-24 10:53:50,32645202,9858851004,32645202,302,3579,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8949480/SRR8949480.1,SRX5729458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667088,SAMN11475446,simple,9606,Homo sapiens,GSM3732362,,,,,,,no,,,,,GEO,SRA878947,,public,44CBAA086948DE5F3EB83C1E07E2FE83,68AB286A9D17CDB7A00B3B1AD2826799
SRR8949481,2019-10-02 17:35:08,2019-04-24 11:00:04,60386646,18236767092,60386646,302,7140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8949481/SRR8949481.1,SRX5729459,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667084,SAMN11475445,simple,32630,synthetic construct,GSM3732363,,,,,,,no,,,,,GEO,SRA878947,,public,2CE013ECB8FBE530EC7D18C2CFCE5F13,051EB3F5F25D299C8E5CEB08A979351B
SRR8949482,2019-10-02 17:35:08,2019-04-24 11:41:12,146307283,44184799466,146307283,302,16781,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8949482/SRR8949482.1,SRX5729460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667085,SAMN11475444,simple,9606,Homo sapiens,GSM3732364,,,,,,,no,,,,,GEO,SRA878947,,public,C7709834775437BB6B086E5B49163DD2,FA7B0000B438E60F3942D026A0200AE9
SRR8949483,2019-10-02 17:35:08,2019-04-24 10:49:54,39279862,11862518324,39279862,302,4812,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8949483/SRR8949483.1,SRX5729461,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667086,SAMN11475443,simple,32630,synthetic construct,GSM3732365,,,,,,,no,,,,,GEO,SRA878947,,public,77F4D28262A2DCB1395AFDCF273FFA00,6BBB7A730D56CAC80B8D5F7F18BB8B7B
SRR8949484,2019-10-02 17:35:08,2019-04-24 11:51:05,183591956,55444770712,183591956,302,21089,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR8949484/SRR8949484.1,SRX5729462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667087,SAMN11475442,simple,9606,Homo sapiens,GSM3732366,,,,,,,no,,,,,GEO,SRA878947,,public,357C1CBCBEED07AFC87530CA6BF643A9,2FE85BABC2AE086979E3D2852C8A5506
SRR8949485,2019-10-02 17:35:08,2019-04-24 10:48:29,37940413,11458004726,37940413,302,4701,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8949485/SRR8949485.1,SRX5729463,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667089,SAMN11475441,simple,32630,synthetic construct,GSM3732367,,,,,,,no,,,,,GEO,SRA878947,,public,E240D66846E99DCFF0ABE55B22AAA472,04F322501DF615328B4FAF220F4E9136
SRR8949486,2019-10-02 17:35:08,2019-04-24 10:48:44,42871298,12947131996,42871298,302,5093,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8949486/SRR8949486.1,SRX5729464,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667090,SAMN11475440,simple,32630,synthetic construct,GSM3732368,,,,,,,no,,,,,GEO,SRA878947,,public,53ED47ED9990CA6AA73C45AF6D558F0B,F485E0497A7FB8978F6083F72AA420DF
SRR8949487,2019-10-02 17:35:08,2019-04-24 10:45:05,27755662,8382209924,27755662,302,3368,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8949487/SRR8949487.1,SRX5729465,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS4667091,SAMN11475439,simple,32630,synthetic construct,GSM3732369,,,,,,,no,,,,,GEO,SRA878947,,public,A4085D3197E1C2B5A1FCF91767631C55,B32CF3DB1C15F2704DAA7669D85A8248
SRR11549016,2020-04-24 16:53:17,2020-04-15 12:21:52,9507082,2871138764,9507082,302,1129,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549016/SRR11549016.1,SRX8119041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483716,SAMN14601049,simple,9606,Homo sapiens,GSM4477417,,,,,,,no,,,,,GEO,SRA878947,,public,BE3DB89FAFF472D24FA26343CF03F821,733051D8B27DCD422FC925D34107BFDA
SRR11549017,2020-04-24 16:53:17,2020-04-15 12:26:31,13568589,4097713878,13568589,302,1655,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR11549017/SRR11549017.1,SRX8119042,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483715,SAMN14601048,simple,32630,synthetic construct,GSM4477418,,,,,,,no,,,,,GEO,SRA878947,,public,B3859127D65855DF0EFF86B3F80E0C73,C32221162D6200C6D3F912A70EDCB05C
SRR11549018,2020-04-24 16:53:17,2020-04-15 12:20:03,7388681,2231381662,7388681,302,875,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549018/SRR11549018.1,SRX8119043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483718,SAMN14601047,simple,9606,Homo sapiens,GSM4477419,,,,,,,no,,,,,GEO,SRA878947,,public,F16D26ACF48C10868CD84A3307509B63,98230D349DEC3D54F6D050890BD4CCCE
SRR11549019,2020-04-24 16:53:17,2020-04-15 12:23:45,13334806,4027111412,13334806,302,1624,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549019/SRR11549019.1,SRX8119044,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483717,SAMN14601046,simple,32630,synthetic construct,GSM4477420,,,,,,,no,,,,,GEO,SRA878947,,public,DB0C50B43992D6B9D0BAE4686C2C7135,F47283B1C886F2AA42452F51256D98E5
SRR11549020,2020-04-24 16:53:17,2020-04-15 12:48:21,40008561,12082585422,40008561,302,4699,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11549020/SRR11549020.1,SRX8119045,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483720,SAMN14601045,simple,9606,Homo sapiens,GSM4477421,,,,,,,no,,,,,GEO,SRA878947,,public,213D658A2AB977B4C818CCF55AC1876F,CC9A5FD09909E14A73AFC7A5DB0A1256
SRR11549021,2020-04-24 16:53:17,2020-04-15 12:24:01,13289873,4013541646,13289873,302,1618,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549021/SRR11549021.1,SRX8119046,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483719,SAMN14601044,simple,32630,synthetic construct,GSM4477422,,,,,,,no,,,,,GEO,SRA878947,,public,256A4C961636991528430E6AE98D2F87,7EBB41745ADED484747065C7A9C85C56
SRR11549022,2020-04-24 16:53:17,2020-04-15 12:22:14,5918931,1787517162,5918931,302,701,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549022/SRR11549022.1,SRX8119047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483721,SAMN14601043,simple,9606,Homo sapiens,GSM4477423,,,,,,,no,,,,,GEO,SRA878947,,public,D0C3EEF4032892E89367682644023E0F,1DB89791094BA7D1071B9DADC1E7ABDC
SRR11549023,2020-04-24 16:53:17,2020-04-15 12:26:30,14473473,4370988846,14473473,302,1771,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549023/SRR11549023.1,SRX8119048,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483722,SAMN14601042,simple,32630,synthetic construct,GSM4477424,,,,,,,no,,,,,GEO,SRA878947,,public,F18EFD114C011A1CFD40E4BF23EDF048,B2E4BC1FF4E151C40457B3B4728D0F11
SRR11549024,2020-04-24 16:53:17,2020-04-15 12:21:08,6798725,2053214950,6798725,302,804,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549024/SRR11549024.1,SRX8119049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483723,SAMN14601041,simple,9606,Homo sapiens,GSM4477425,,,,,,,no,,,,,GEO,SRA878947,,public,77D94536442D858F661DEA8216BB43F7,9E8F1BD3520A0052411F81F9C4FA3CA7
SRR11549025,2020-04-24 16:53:17,2020-04-15 12:31:26,20034174,6050320548,20034174,302,2375,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR11549025/SRR11549025.1,SRX8119050,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483724,SAMN14601040,simple,32630,synthetic construct,GSM4477426,,,,,,,no,,,,,GEO,SRA878947,,public,A280A6934583EDE5B5A78D4944469030,43E13654AD77A6AC97C3AF0D2D89017D
SRR11549026,2020-04-24 16:53:17,2020-04-15 13:01:02,53236367,16077382834,53236367,302,6171,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549026/SRR11549026.1,SRX8119051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483725,SAMN14601039,simple,9606,Homo sapiens,GSM4477427,,,,,,,no,,,,,GEO,SRA878947,,public,DC7D4D0EE054A870F563B81EDEA67497,9BB5DC52405DA7021609EE3D3BA25C1A
SRR11549027,2020-04-24 16:53:17,2020-04-15 12:27:23,19820160,5985688320,19820160,302,2319,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11549027/SRR11549027.1,SRX8119052,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483726,SAMN14601038,simple,32630,synthetic construct,GSM4477428,,,,,,,no,,,,,GEO,SRA878947,,public,49816340623B7D9417DD1F74EB08D2FB,7698CD197CA8DD0EBB4220CBC8447618

